# initial norm:	36
# finial norm:	0.0003543
# ratio:	9.841e-06
# iterations:	163
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0.5 0.3023 0.2093 0.1582 0.1266 0.105 0.08935 0.07722 0.06738 0.05908 0.05179 0.0452 0.03906 0.03322 0.02755 0.02199 0.01647 0.01098 0.005489 0 
1 0.6977 0.5 0.3766 0.297 0.243 0.2043 0.1751 0.1521 0.1332 0.1171 0.1029 0.08994 0.07783 0.06625 0.055 0.04392 0.03293 0.02195 0.01098 0 
1 0.7907 0.6234 0.5 0.4103 0.3441 0.294 0.2547 0.2229 0.1963 0.1733 0.1527 0.1338 0.1161 0.09897 0.08228 0.06578 0.04935 0.03293 0.01647 0 
1 0.8418 0.703 0.5897 0.5 0.4292 0.3728 0.3269 0.2886 0.2558 0.227 0.2009 0.1766 0.1536 0.1313 0.1094 0.08757 0.06578 0.04392 0.02199 0 
1 0.8734 0.757 0.6559 0.5708 0.5 0.441 0.3913 0.3487 0.3114 0.2779 0.2471 0.2182 0.1904 0.1632 0.1363 0.1094 0.08227 0.055 0.02755 0 
1 0.895 0.7957 0.706 0.6272 0.559 0.5 0.4487 0.4036 0.3631 0.3262 0.2916 0.2586 0.2266 0.1949 0.1632 0.1313 0.09896 0.06625 0.03322 0 
1 0.9107 0.8249 0.7453 0.6731 0.6087 0.5513 0.5 0.4537 0.4114 0.372 0.3345 0.2982 0.2624 0.2266 0.1904 0.1536 0.1161 0.07782 0.03906 0 
1 0.9228 0.8479 0.7771 0.7114 0.6513 0.5964 0.5463 0.5 0.4568 0.4158 0.3762 0.3372 0.2982 0.2586 0.2182 0.1766 0.1338 0.08994 0.0452 0 
1 0.9326 0.8668 0.8037 0.7442 0.6886 0.6369 0.5886 0.5432 0.5 0.4582 0.4172 0.3762 0.3345 0.2916 0.2471 0.2009 0.1527 0.1029 0.05179 0 
1 0.9409 0.8829 0.8267 0.773 0.7221 0.6738 0.628 0.5842 0.5418 0.5 0.4582 0.4158 0.372 0.3262 0.2779 0.227 0.1733 0.1171 0.05907 0 
1 0.9482 0.8971 0.8473 0.7991 0.7529 0.7084 0.6655 0.6238 0.5828 0.5418 0.5 0.4568 0.4114 0.3631 0.3114 0.2558 0.1963 0.1332 0.06738 0 
1 0.9548 0.9101 0.8662 0.8234 0.7818 0.7414 0.7018 0.6628 0.6238 0.5842 0.5432 0.5 0.4537 0.4036 0.3487 0.2886 0.2229 0.1521 0.07721 0 
1 0.9609 0.9222 0.8839 0.8464 0.8096 0.7734 0.7376 0.7018 0.6655 0.628 0.5886 0.5463 0.5 0.4487 0.3913 0.3269 0.2547 0.1751 0.08935 0 
1 0.9668 0.9337 0.901 0.8687 0.8368 0.8051 0.7734 0.7414 0.7084 0.6738 0.6369 0.5964 0.5513 0.5 0.441 0.3728 0.294 0.2043 0.105 0 
1 0.9724 0.945 0.9177 0.8906 0.8637 0.8368 0.8096 0.7818 0.7529 0.7221 0.6886 0.6513 0.6087 0.559 0.5 0.4292 0.3441 0.243 0.1266 0 
1 0.978 0.9561 0.9342 0.9124 0.8906 0.8687 0.8464 0.8234 0.7991 0.773 0.7442 0.7114 0.6731 0.6272 0.5708 0.5 0.4103 0.297 0.1582 0 
1 0.9835 0.9671 0.9506 0.9342 0.9177 0.901 0.8839 0.8662 0.8473 0.8267 0.8037 0.7771 0.7453 0.706 0.6559 0.5897 0.5 0.3766 0.2093 0 
1 0.989 0.978 0.9671 0.9561 0.945 0.9337 0.9222 0.9101 0.8971 0.8829 0.8668 0.8479 0.8249 0.7957 0.757 0.703 0.6234 0.5 0.3023 0 
1 0.9945 0.989 0.9835 0.978 0.9724 0.9668 0.9609 0.9548 0.9482 0.9409 0.9326 0.9228 0.9107 0.895 0.8734 0.8418 0.7907 0.6977 0.5 0 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
